Iterator Time:10
No.104   Length:0.848094   Redius:1.69619   LeafAmount:2   
No.105   Length:1.07466   Redius:2.14931   LeafAmount:0   
No.106   Length:0.910177   Redius:1.82035   LeafAmount:2   
No.107   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.108   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.109   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.110   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.111   Rule:B(l*0.6,w*0.85,y*0.6)
No.112   Length:0.90361   Redius:1.80722   LeafAmount:0   
No.113   Length:0.749108   Redius:1.49822   LeafAmount:2   
No.114   Length:0.944159   Redius:1.88832   LeafAmount:0   
No.115   Length:0.770126   Redius:1.54025   LeafAmount:2   
No.116   Length:0.978597   Redius:1.95719   LeafAmount:0   
No.117   Length:0.786826   Redius:1.57365   LeafAmount:2   
No.118   Length:1.01328   Redius:2.02656   LeafAmount:0   
No.119   Length:0.812415   Redius:1.62483   LeafAmount:2   
No.120   Length:1.04336   Redius:2.08672   LeafAmount:0   
No.121   Length:0.848094   Redius:1.69619   LeafAmount:2   
No.122   Length:1.07466   Redius:2.14931   LeafAmount:0   
No.123   Length:0.910177   Redius:1.82035   LeafAmount:2   
No.124   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.125   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.126   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.127   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.128   Rule:B(l*0.6,w*0.85,y*0.6)
No.129   Length:0.90361   Redius:1.80722   LeafAmount:0   
No.130   Length:0.925537   Redius:1.85107   LeafAmount:0   
No.131   Length:0.946471   Redius:1.89294   LeafAmount:0   
No.132   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.133   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.134   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.135   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.136   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.137   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.138   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.139   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.140   Length:1.09031   Redius:2.18062   LeafAmount:0   
No.141   Length:0.921781   Redius:1.84356   LeafAmount:2   
No.142   Length:0.517047   Redius:1.03409   LeafAmount:0   
No.143   Length:0.517047   Redius:1.03409   LeafAmount:2   
No.144   Length:0.507661   Redius:1.01532   LeafAmount:0   
No.145   Length:0.507661   Redius:1.01532   LeafAmount:2   
No.146   Rule:B(l*0.6,w*0.85,y*0.6)
No.147   Length:0.964301   Redius:1.9286   LeafAmount:0   
No.148   Length:0.781853   Redius:1.56371   LeafAmount:2   
No.149   Length:0.997387   Redius:1.99477   LeafAmount:0   
No.150   Length:0.798159   Redius:1.59632   LeafAmount:2   
No.151   Length:1.03084   Redius:2.06167   LeafAmount:0   
No.152   Length:0.823441   Redius:1.64688   LeafAmount:2   
No.153   Length:1.05994   Redius:2.11989   LeafAmount:0   
No.154   Length:0.859279   Redius:1.71856   LeafAmount:2   
No.155   Length:1.09031   Redius:2.18062   LeafAmount:0   
